iter	RMSE
196	4.878334322
197	4.876349209
198	4.875131084
199	4.873027403
200	4.868051979
201	4.865130962
202	4.861469756
203	4.856258147
204	4.851534334
205	4.844151883
206	4.839898617
207	4.836590258
208	4.835144045
209	4.830862564
210	4.830487723
211	4.827664842
212	4.822593206
213	4.820991069
214	4.818905978
215	4.817247972
216	4.816796498
217	4.81439586
218	4.812104168
219	4.810945405
220	4.80747854
221	4.806057713
222	4.803732147
223	4.799751465
224	4.795421184
225	4.792615546
226	4.789513484
227	4.789477696
228	4.788019282
229	4.785551563
230	4.783517922
231	4.782417135
232	4.779960675
233	4.779306116
234	4.775974515
235	4.771817046
236	4.770157234
237	4.767211635
238	4.763391598
239	4.76108753
240	4.756450743
241	4.755366575
242	4.754931946
243	4.748594291
244	4.748075057
245	4.745521858
246	4.743236935
247	4.74236129
248	4.739269275
249	4.738310755
250	4.735142425
251	4.733013963
252	4.728998902
253	4.727144926
254	4.725557629
255	4.725306066
256	4.722961173
257	4.721883172
258	4.720203242
259	4.716458074
260	4.714759131
261	4.713770895
262	4.712596088
263	4.710382573
264	4.7060876
265	4.705466151
266	4.703672199
267	4.698662474
268	4.692358997
269	4.689497664
270	4.687296624
271	4.683427134
272	4.678680152
273	4.676400798
274	4.673792052
275	4.670990814
276	4.669119486
277	4.666437702
278	4.665813517
279	4.665284106
280	4.664400041
281	4.662388745
282	4.660172721
283	4.65591597
284	4.653591481
285	4.649145956
286	4.648275298
287	4.646226514
288	4.644527965
289	4.642091789
290	4.640044296
291	4.637662438
292	4.634111828
293	4.632268968
294	4.629939599
295	4.626340743
296	4.622911612
297	4.622066912
298	4.61996405
299	4.619430494
300	4.615774862
301	4.613245096
302	4.612957039
303	4.611004586
304	4.610265314
305	4.609756005
306	4.605987321
307	4.604057004
308	4.598506243
309	4.594315119
310	4.593219841
311	4.590595038
312	4.590328525
313	4.58881213
314	4.588104944
315	4.586812082
316	4.586003735
317	4.582151537
318	4.58040112
319	4.575792475
320	4.572817907
321	4.571908145
322	4.568019143
323	4.561093529
324	4.558929035
325	4.555184057
326	4.554134183
327	4.552751426
328	4.551014755
329	4.550676406
330	4.548100654
331	4.545034021
332	4.541599545
333	4.540716468
334	4.537781055
335	4.532697625
336	4.52701297
337	4.524304435
338	4.523469979
339	4.521656582
340	4.521091245
341	4.518511648
342	4.518280906
343	4.515613057
344	4.512636577
345	4.510066789
346	4.507802996
347	4.50417207
348	4.504066497
349	4.503812481
350	4.500747643
351	4.496593345
352	4.494800155
353	4.493031971
354	4.491991687
355	4.488462723
356	4.486562013
357	4.484862258
358	4.48267455
359	4.48103324
360	4.47840787
361	4.475969313
362	4.471792773
363	4.469895119
364	4.466308856
365	4.46436689
366	4.461825216
367	4.459062166
368	4.456012956
369	4.455642894
370	4.453299874
371	4.452555285
372	4.452441706
373	4.452319547
374	4.450012082
375	4.447209486
376	4.445437401
377	4.444245517
378	4.444089718
379	4.44214177
380	4.437716107
381	4.4344983
382	4.432176811
383	4.430900525
384	4.428553689
385	4.426736055
386	4.426152559
387	4.422601064
388	4.421250447
389	4.418124088
390	4.415391509
391	4.412786574
392	4.410552019
393	4.408407312
394	4.407188152
395	4.405464886
396	4.402980298
397	4.402268961
398	4.399887763
399	4.399626576
400	4.397373972
401	4.396291179
402	4.394147299
403	4.391680386
404	4.390640076
405	4.390126413
406	4.389633525
407	4.388131665
408	4.385772077
409	4.382752015
410	4.379633541
411	4.373558706
412	4.372984404
413	4.370981739
414	4.368723635
415	4.363746043
416	4.360685958
417	4.358273699
418	4.357314052
419	4.356142486
420	4.355502634
421	4.351664177
422	4.349860491
423	4.347767421
424	4.347078177
425	4.345118079
426	4.343655913
427	4.341859308
428	4.336815785
429	4.334797123
430	4.334503691
431	4.332600851
432	4.331763936
433	4.32803589
434	4.327766951
435	4.325456782
436	4.322660373
437	4.321230039
438	4.319679286
439	4.318206944
440	4.31766331
441	4.317516916
442	4.316082202
443	4.314676748
444	4.312186983
445	4.308409994
446	4.305025832
447	4.302183611
448	4.301184448
449	4.300874446
450	4.295350969
451	4.292938468
452	4.290193326
453	4.287487287
454	4.285290543
455	4.284650278
456	4.280289269
457	4.278502054
458	4.278385055
459	4.275623311
460	4.273087995
461	4.271492884
462	4.271242947
463	4.267583386
464	4.266896256
465	4.266803416
466	4.26620723
467	4.263972035
468	4.263783997
469	4.263614151
470	4.258631783
471	4.256507775
472	4.253387828
473	4.253276379
474	4.251158037
475	4.249214819
476	4.247666554
477	4.246186551
478	4.245743461
479	4.243647572
480	4.240192326
481	4.238062627
482	4.237188256
483	4.235256284
484	4.234446835
485	4.232327225
486	4.230977351
487	4.230521638
488	4.226206117
489	4.225579109
490	4.222887314
491	4.220803427
492	4.218874756
493	4.218593382
494	4.217768235
495	4.216169254
496	4.215222944
497	4.213341632
498	4.211573176
499	4.211496304
500	4.208300511
501	4.207545001
502	4.20518575
503	4.205006652
504	4.199724177
505	4.199576036
506	4.196823913
507	4.193443183
508	4.190406505
509	4.189968529
510	4.187407515
511	4.184386938
512	4.181910581
513	4.178870511
514	4.173955082
515	4.17299802
516	4.172466247
517	4.171479535
518	4.166958856
519	4.164658892
520	4.164477656
521	4.163931767
522	4.163051971
523	4.162587892
524	4.16219806
525	4.16056768
526	4.157535176
527	4.157439377
528	4.156346472
529	4.154774656
530	4.154286269
531	4.152879037
532	4.149789695
533	4.146298156
534	4.141636386
535	4.138862104
536	4.137238299
537	4.13222668
538	4.128627441
539	4.128109476
540	4.126906248
541	4.124387259
542	4.123359904
543	4.12213674
544	4.120377189
545	4.119647462
546	4.116906939
547	4.115187581
548	4.111934473
549	4.11022051
550	4.108872467
551	4.107576548
552	4.106835875
553	4.105403995
554	4.103818138
555	4.102784752
556	4.102605276
557	4.102464146
558	4.101620665
559	4.097385931
560	4.096733197
561	4.096198067
562	4.092993599
563	4.092792271
564	4.092132234
565	4.090087043
566	4.089225131
567	4.089082724
568	4.087082399
569	4.08581866
570	4.085390783
571	4.084469087
572	4.082975555
573	4.081842723
574	4.07838767
575	4.07700134
576	4.076720459
577	4.075489501
578	4.074369138
579	4.074110676
580	4.073772349
581	4.07207989
582	4.067779458
583	4.065400623
584	4.064179507
585	4.063803485
586	4.063200491
587	4.060714139
588	4.057347373
589	4.056363704
590	4.055255225
591	4.05343046
592	4.051193966
593	4.048531231
594	4.047109981
595	4.045903683
596	4.044060657
597	4.042426578
598	4.04129087
599	4.038315009
600	4.037086919
601	4.03612737
602	4.033793117
603	4.031913496
604	4.031435166
605	4.030018793
606	4.029626378
607	4.028764778
608	4.024778461
609	4.022992204
610	4.022903645
611	4.021138207
612	4.020845861
613	4.017974396
614	4.016089517
615	4.013960947
616	4.012783527
617	4.012442674
618	4.012242177
619	4.011257259
620	4.01086943
621	4.009622894
622	4.008994563
623	4.007604678
624	4.007268509
625	4.004876976
626	4.003081726
627	4.002380326
628	4.000642125
629	3.996757672
630	3.994274094
631	3.990720696
632	3.986883325
633	3.984825087
634	3.984021373
635	3.981797678
636	3.980104366
637	3.978631316
638	3.977402366
639	3.975619738
640	3.974132929
641	3.973358816
642	3.972179466
643	3.969503145
644	3.969400434
645	3.967150637
646	3.966696604
647	3.96581114
648	3.964592524
649	3.963216291
650	3.96144389
651	3.959918244
652	3.95961208
653	3.959244279
654	3.959050944
655	3.958206725
656	3.957568187
657	3.957372673
658	3.957124646
659	3.957063364
660	3.956698561
661	3.955596154
662	3.954756204
663	3.952465582
664	3.95147044
665	3.949198226
666	3.94916619
667	3.948706683
668	3.947335105
669	3.946341963
670	3.945057631
671	3.942207148
672	3.941576994
673	3.938738982
674	3.937501452
675	3.937373191
676	3.935436916
677	3.935160714
678	3.932695868
679	3.931667731
680	3.930792574
681	3.930149618
682	3.928941624
683	3.926421836
684	3.925072351
685	3.924492165
686	3.920485773
687	3.919442685
688	3.918887155
689	3.918778977
690	3.915786186
691	3.914315088
692	3.912449954
693	3.909218441
694	3.908024255
695	3.906133675
696	3.90504023
697	3.904560026
698	3.902772892
699	3.9021569
700	3.90165875
701	3.900095807
702	3.895067196
703	3.892255923
704	3.891936103
705	3.890941877
706	3.887952788
707	3.88782858
708	3.885709933
709	3.884586871
710	3.882829892
711	3.881628289
712	3.880251326
713	3.876831053
714	3.875334644
715	3.873889035
716	3.870928528
717	3.87010957
718	3.869675095
719	3.869101422
720	3.868917525
721	3.86846052
722	3.867801662
723	3.864706145
724	3.862520226
725	3.862081257
726	3.859743729
727	3.858758929
728	3.857080696
729	3.8538653
730	3.853630355
731	3.85357825
732	3.852392199
733	3.851519163
734	3.850318375
735	3.847650173
736	3.845628933
737	3.844053352
738	3.842582273
739	3.839000702
740	3.838133321
741	3.835487334
742	3.835017441
743	3.834796488
744	3.83249057
745	3.832428197
746	3.832072141
747	3.831136272
748	3.83003413
749	3.829026022
750	3.828728265
751	3.827255302
752	3.824678919
753	3.823312937
754	3.822982193
755	3.820481178
756	3.820180557
757	3.818396906
758	3.814215095
759	3.811835572
760	3.811133174
761	3.810793168
762	3.809924105
763	3.808803821
764	3.807161795
765	3.80584762
766	3.805132818
767	3.803982168
768	3.803275437
769	3.801636377
770	3.801126732
771	3.800634162
772	3.80019996
773	3.799610089
774	3.796924984
775	3.795704257
776	3.795012064
777	3.794674214
778	3.793079037
779	3.792861411
780	3.790940971
781	3.787780222
782	3.787162968
783	3.785409307
784	3.785304392
785	3.784173105
786	3.783908182
787	3.779525561
788	3.778335151
789	3.777906577
790	3.777514257
791	3.775785235
792	3.773483746
793	3.772621676
794	3.771004226
795	3.769592909
796	3.769511309
797	3.76882059
798	3.767816186
799	3.767531404
800	3.764410314
801	3.763227598
802	3.763081567
803	3.762317235
804	3.758659555
805	3.758573131
806	3.757928148
807	3.756954936
808	3.756396981
809	3.754875407
810	3.754187135
811	3.753831263
812	3.752247655
813	3.751990723
814	3.751661269
815	3.751348979
816	3.7511444
817	3.749385033
818	3.749259395
819	3.745891847
820	3.745526105
821	3.745227565
822	3.742293757
823	3.741320925
824	3.740957901
825	3.740070786
826	3.739786298
827	3.739492209
828	3.739203145
829	3.739082996
830	3.738937845
831	3.73831632
832	3.735308649
833	3.735073759
834	3.733526943
835	3.733219672
836	3.731751533
837	3.731717164
838	3.730781693
839	3.72674279
840	3.726595846
841	3.725727902
842	3.725588914
843	3.723457736
844	3.721115087
845	3.720628571
846	3.719945749
847	3.718865909
848	3.716713801
849	3.716631695
850	3.716200905
851	3.715849357
852	3.715214574
853	3.714061328
854	3.713930239
855	3.711230124
856	3.709202929
857	3.708779158
858	3.707202528
859	3.704901713
860	3.702894676
861	3.70191422
862	3.701490586
863	3.70085352
864	3.70079617
865	3.700609698
866	3.699388058
867	3.698498678
868	3.697955386
869	3.696618217
870	3.696173394
871	3.695427506
872	3.693929049
873	3.692126738
874	3.691633816
875	3.691258621
876	3.689490908
877	3.688418762
878	3.687421717
879	3.686450288
880	3.685779613
881	3.685274112
882	3.682637228
883	3.681137514
884	3.680409613
885	3.680064824
886	3.679263199
887	3.677837742
888	3.676568942
889	3.674782263
890	3.674576102
891	3.671609299
892	3.671319066
893	3.670056645
894	3.668627545
895	3.667740735
896	3.666788405
897	3.66449864
898	3.664286418
899	3.661084222
900	3.660943174
901	3.660486334
902	3.660181322
903	3.658736781
904	3.658223911
905	3.656317692
906	3.653965896
907	3.653537564
908	3.653058035
909	3.652047889
910	3.651107934
911	3.649687054
912	3.648295807
913	3.647454866
914	3.646667666
915	3.646321286
916	3.643957047
917	3.641236349
918	3.641072982
919	3.640782458
920	3.640464501
921	3.640114557
922	3.637512449
923	3.636578915
924	3.636412794
925	3.636341008
926	3.635760783
927	3.635203529
928	3.63472073
929	3.632160486
930	3.631880294
931	3.630916676
932	3.630679217
933	3.62837425
934	3.626068439
935	3.624314714
936	3.623483214
937	3.622683195
938	3.622109395
939	3.621134804
940	3.620329589
941	3.618570667
942	3.618432746
943	3.618387432
944	3.617855726
945	3.617474861
946	3.614838546
947	3.611119929
948	3.609512675
949	3.609393657
950	3.609142468
951	3.608514709
952	3.60614892
953	3.60412564
954	3.603860207
955	3.602493216
956	3.601694975
957	3.600815382
958	3.599818435
959	3.59918277
960	3.59725996
961	3.596421175
962	3.593475598
963	3.592333983
964	3.590919317
965	3.590514692
966	3.590275132
967	3.590256027
968	3.589631026
969	3.586512991
970	3.585747276
971	3.583618507
972	3.581830365
973	3.580491952
974	3.580393395
975	3.579866369
976	3.578698161
977	3.574869186
978	3.574086242
979	3.570625038
980	3.569302692
981	3.568434304
982	3.567470169
983	3.567351587
984	3.567295445
985	3.564318371
986	3.562974114
987	3.562908257
988	3.561005187
989	3.560367103
990	3.560296878
991	3.558393115
992	3.556455915
993	3.555730444
994	3.554134491
995	3.552139465
996	3.551733807
997	3.550793134
998	3.548478031
999	3.546631223
